;Unnamed: 0;Unnamed: 0.1;Unnamed: 0.1.1;Image Text;Image Title;caption;no_of_comments;no_of_likes;is_video;topic;corresponding article;length_of_text;question;personalisation;emotional;opinion;regional;interaction;on X;number of Images;Column1;verbless clause caption;verbless clause image;omission of article caption;omission of article image;quotation caption;quotation image;average word length caption;average word length image;personal;main_clauses;sub_clauses;no_of_sentences;emoji;emoji_count;ratio_main_sub;ratio_main;ratio_sub;sentence_structure;emotion
0;0;0;0;"DFB-Pokalspiel mit Unterbrechung
1. FC Lok Leipzig verliert
gegen Eintracht Frankfurt
";C:/Users/Lui/Desktop/Leuphana/01_Bachelor Arbeit/Data/alt/lvz.de\2023-08-13_15-42-50_UTC.jpg;"Fußball-Regionalligist 1. FC Lokomotive Leipzig ist in der ersten Runde des DFB-Pokals ausgeschieden. Das Team verlor gegen den Bundesligisten Eintracht Frankfurt am Sonntag mit 0:7. 

Die Partie wurde in der zweiten Hälfte musste aufgrund von gezündeten Feuerwerkskörpern auf den Tribünen für knapp 15 Minuten unterbrochen werden. Zahlreiche Sicherheitskräfte waren im Vorfeld und während des Spiels präsent, um das Fußballspiel abzusichern.

#DFBPokal #LokLeipzig #EintrachtFrankfurt #Leipzig #Fußball";29;473;False;sports;no;503;False;no personalisation;no emotionalisation;News;regional;no interaction;yes;1;;all verbs included;verbless clause;omission of article;omission of article;no quote;no quote;6.875;8.666666666666666;no personalisation;4.0;1.0;4.0;[];0.0;0.25;1.0;0.25;complex;
1;1;1;1;"Leipzigs Beste
Wir suchen Leipzigs
besten Späti

Ein kühles Bier, ein paar Snacks oder der
Wochenend-Noteinkauf: Der Späti um die Ecke ist meistens da.
Doch welcher ist der beste in der Stadt? Schreibt uns eure
Vorschläge in die Kommentare oder per Mail an feedback@lvz.de!
";C:/Users/Lui/Desktop/Leuphana/01_Bachelor Arbeit/Data/alt/lvz.de\2023-08-14_10-37-29_UTC.jpg;"#Leipzig und die Spätikultur. Weil sie irgendwie ein bisschen die Retter in der Not, das Ziel eines guten Abends oder auch mal einfach ein guter Treffpunkt sind, suchen wir nun Leipzigs besten #Späti. 

Schickt uns eure Vorschläge, bevorzugt in die Kommentare oder per Mail und sagt uns, was ist euer Favorit? 

Mehr dazu findet ihr auch auf lvz.de/instagram

#Späti #Spätkauf #Kiosk #Leipzig #GastroLeipzig #Nachtleben #Sachsen #LVZ #LeipzigerVolkszeitung";644;578;False;culture;yes;456;True;no personalisation;no emotionalisation;News;regional;no interaction;yes;1;;all verbs included;verbless clause;all articles included;omission of article;no quote;no quote;5.924242424242424;6.2368421052631575;no personalisation;0.0;0.0;0.0;[];0.0;;;;simple;
2;2;2;2;" Polizeieinsatz

Nach Spiel von Lok Leipzig gegen
Eintracht Frankfurt: Über zwanzig
Straftaten
";C:/Users/Lui/Desktop/Leuphana/01_Bachelor Arbeit/Data/alt/lvz.de\2023-08-14_13-04-56_UTC.jpg;"Am Ende sind es über zwanzig Straftaten und viel Ärger. Nach und während dem #DFB-Pokalspiel von Lok Leipzig am Wochenende gegen die Mannschaft von Eintracht Frankfurt kam es zu mehreren Vorfällen. Unter anderem landete Pyro-Technik auf der Tribüne für Rollstuhlfahrerinnen und -fahrer. 
Die Polizei meldete über zwanzig Straftaten, unter anderem wegen Körperverletzung und Sachbeschädigung. 

#Leipzig #Fußball #LokLeipzig #EintrachtFrankfurt #Sport #DFB #Sachsen #LeipzigerVolkszeitung #LVZ";34;408;False;crime, disaster & accidents;no;492;False;no personalisation;no emotionalisation;News;regional;no interaction;yes;1;;all verbs included;verbless clause;all articles included;all articles included;no quote;no quote;6.825396825396825;8.6;personalisation;4.0;0.0;4.0;[];0.0;0.0;1.0;0.0;simple;
3;3;3;3;"Investitionen in Natur und Technik

Leipziger Krankenhaus
St. Elisabeth befasst sich mit
dem Klimawandel


";C:/Users/Lui/Desktop/Leuphana/01_Bachelor Arbeit/Data/alt/lvz.de\2023-08-14_15-45-39_UTC.jpg;"Neben dem Alltag müssen sich auch die Krankenhäuser für die Zukunft aufstellen, auch in Sachen #Klimawandel und #Nachhaltigkeit. Das Krankenhaus St. Elisabeth in #Connewitz spielt in der Entwicklung weit vorne mit und investiert in verschiedenste Ansätze. 
LVZ-Redakteur Björn Meine war da und hat sich die Punkte angesehen. Bringen sie etwas? 

Das lest ihr bei lvz.de/instagram 

#Krankenhaus #Leipzig #Sachsen #Gesundheit #LVZ #LeipzigerVolkszeitung";10;509;False;health;yes;452;True;personalisation;no emotionalisation;Interview;regional;no interaction;no;1;;all verbs included;verbless clause;all articles included;omission of article;no quote;no quote;6.426229508196721;8.818181818181818;personalisation;7.0;0.0;7.0;[];0.0;0.0;1.0;0.0;simple;
4;4;4;4;"Umfrage
Norden, Süden,
Szeneviertel: Das kostet
Wohnen in Leipzig
";C:/Users/Lui/Desktop/Leuphana/01_Bachelor Arbeit/Data/alt/lvz.de\2023-08-15_09-32-49_UTC.jpg;"🏘️💰Karten auf den Tisch: Die Mieten in #Leipzig steigen. Und wer gerade eine #Wohnung sucht, sucht mittlerweile ein bisschen länger, als noch vor einigen Jahren. Aber: Wie wohnen die Leipzigerinnen und Leipziger tatsächlich? Wir haben uns mal in der Stadt umgehört und wollen auch von euch wissen: Frisst die Miete viel von eurem monatlichen Budget? 💸

Schreibt uns! 

Die ganze Umfrage gibts dann übrigens auch bei lvz.de/instagram

#Leipzig #Sachsen #Dresden #Miete #Hamburg #München #Berlin #Wohnung #Wohnungssuche #Reudnitz #Gohlis #LeipzigerVolkszeitung #LVZ";31;204;True;construction & living;yes;563;True;no personalisation;no emotionalisation;Interview;regional;no interaction;yes;1;;verbless clause;verbless clause;omission of article;all articles included;no quote;no quote;6.230769230769231;10.166666666666666;no personalisation;7.0;1.0;8.0;['🏘️', '💰', '💸'];1.0;0.1428571428571428;0.875;0.125;simple;
5;5;5;5;"Brückenbau im Süden
Der Straßenbahnausbau
nach Markkleeberg und an
den Cospudener See dauert
";C:/Users/Lui/Desktop/Leuphana/01_Bachelor Arbeit/Data/alt/lvz.de\2023-08-15_13-28-00_UTC.jpg;"Eine neue #Straßenbahnlinie nach #Markkleeberg und an den #Cossi? Das Thema hat euch sehr interessiert. Doch warum das noch nicht so schnell möglich ist, hat unser Reporter Florian Reinke für euch nochmal zusammengefasst. Mehr dazu auch bei lvz.de/Instagram

#Straßenbahn #Leipzig #Sachsen #CospudenerSee #LVB #Tram #LVZ #LeipzigerVolkszeitung";60;1429;True;mobility;yes;343;True;personalisation;no emotionalisation;News;regional;no interaction;yes;1, 2 videos;;all verbs included;verbless clause;omission of article;all articles included;no quote;no quote;6.644444444444445;8.4;personalisation;2.0;1.0;4.0;[];0.0;0.5;0.5;0.25;complex;
6;6;6;6;"Leipziger Buntgarnwerke
Anwohner fassungslos: Post
beliefert Leipziger Haushalte
drei Wochen lang nicht
";C:/Users/Lui/Desktop/Leuphana/01_Bachelor Arbeit/Data/alt/lvz.de\2023-08-16_07-16-04_UTC.jpg;"In den #Buntgarnwerken im Leipziger Westen blieben die Briefkästen leer - rund drei Wochen lang. Die #Post lieferte nicht mehr, die Briefe gingen an die Absender zurück. Aufgefallen ist das erst nach und nach. Das die Post nicht ankam, hat Auswirkungen auf viele Bereiche, so die Bewohnerinnen und Bewohner. Die Betroffene sind konsterniert, auch über die späte Begründung der Post auf eine LVZ-Nachfrage.

Mehr dazu auf lvz.de/instagram

#DeutschePost #Leipzig #Sachsen #Briefe #Plagwitz #Schleußig #LeipzigerVolkszeitung #LVZ";25;573;False;other;yes;527;False;no personalisation;emotionalisation;News;regional;no interaction;no;1;;all verbs included;verbless clause;all articles included;omission of article;no quote;no quote;6.232876712328767;10.666666666666666;no personalisation;6.0;1.0;6.0;[];0.0;0.1666666666666666;1.0;0.1666666666666666;complex;negative
7;7;7;7;"Sängerin nicht anwesend
Razzia bei Melanie Müller:
Polizei lässt Hausütr in
Leipzig aufbohren
";C:/Users/Lui/Desktop/Leuphana/01_Bachelor Arbeit/Data/alt/lvz.de\2023-08-16_10-08-05_UTC.jpg;"Am Mittwoch verschafften sich Leipziger Beamte mithilfe eines Schlüsseldienstes Zugang zum Haus der Schlagersängerin Melanie Müller. 

Die Leipziger Sängerin befindet sich aktuell auf Mallorca – am Dienstagabend trat sie laut ihrer Instagram-Story in der bekannten Ballermann-Discothek „Oberbayern“ auf.

Offenbar handelt es sich bei dem Einsatz in Leipzig-Wahren um die Vollstreckung eines Bescheids des Leipziger Finanzamts. Möglicherweise fällt der Tatbestand unter das Steuergeheimnis und wird daher nicht öffentlich kommuniziert. 

Bereits im Oktober vergangenen Jahres bekam es Melanie Müller mit einer Hausdurchsuchung zu tun. Mehr dazu auf lvz.de/instagram

#MelanieMueller #Razzia #Polizei #Sachsen #Leipzig #LVZ #LeipzigerVolkszeitung";17;852;False;crime, disaster & accidents;yes;744;False;personalisation;no emotionalisation;News;regional;no interaction;yes;1;;all verbs included;verbless clause;omission of article;all articles included;no quote;no quote;7.186813186813187;8.5;personalisation;7.0;0.0;6.0;[];0.0;0.0;1.1666666666666667;0.0;simple;
8;8;8;8;"Ruhe vor dem Sturm
Sso sieht der Aufbau vom
Highfield Festival aus";C:/Users/Lui/Desktop/Leuphana/01_Bachelor Arbeit/Data/alt/lvz.de\2023-08-16_15-22-36_UTC.jpg;"Das Highfield Festival steht vor der Tür! Freut ihr euch drauf? Welchen Act wollt ihr auf keinen Fall verpassen?✨

Wir sind auch vor Ort und nehmen euch mit, falls ihr nicht dabei sein könnt.

#leipzig #sachsen #festival #highfield #highfieldfestival";1;607;True;culture;no;250;True;personalisation;emotionalisation;News;regional;interaction;yes;1, 1 video;;all verbs included;verbless clause;all articles included;all articles included;no quote;no quote;5.783783783783784;5.7;no personalisation;5.0;1.0;4.0;['✨'];1.0;0.2;1.25;0.25;complex;positive
9;9;9;9;"Taylor Swift und Harry Styles
füllen eine Nacht das Leipziger
Täubchenthal
";C:/Users/Lui/Desktop/Leuphana/01_Bachelor Arbeit/Data/alt/lvz.de\2023-08-17_06-30-06_UTC.jpg;"Die ""Love On Tour"" von Harry Styles ist nach zwei Jahren vorbei, Taylor Swift kommt erst im nächsten Jahr nach Deutschland und das nächste Album braucht noch ein paar Monate, aber dennoch: Beide Pop-Ikonen füllen mit ihrer Musik am Samstag das  Leipziger Täubchenthal. Zur „Taylor & Harry Night“ werden dort ausschließlich Songs der beiden Künstler gespielt. Als, so heißt es auf der Website, „Huldigung an zwei Ikonen“.😏

Stars erleben, ohne das sie wirklich da sind? Leonie Beyerlein hat sich mit den beiden und der Veranstaltung beschäftigt. Mehr dazu jetzt bei lvz.de/instagram!

#hslot #theerastour #taylorswift #harrystyles #swifties #1989 #leipzig #musik #konzert #leipzigervolkszeitung #lvz";8;766;False;culture;yes;698;True;personalisation;no emotionalisation;Comment;regional;no interaction;no;1;;all verbs included;verbless clause;all articles included;all articles included;quote;no quote;5.920792079207921;7.444444444444445;personalisation;7.0;1.0;7.0;['😏'];1.0;0.1428571428571428;1.0;0.1428571428571428;simple;
10;10;10;10;"Leipzig - 2002
";C:/Users/Lui/Desktop/Leuphana/01_Bachelor Arbeit/Data/alt/lvz.de\2023-08-17_07-57-32_UTC.jpg;"Die Karl-Liebknecht-Straße im Süden Leipzigs ist geprägt von Bars, Cafés, Restaurants und Kultur. 

Karl Liebknecht, nach dem die Straße benannt ist, wurde am 13. August 1871 in Leipzig geboren und im Januar 1919 ermordet.

Er war Rechtsanwalt und Politiker - seit 1900 Mitglied in der SPD. Außerdem war Liebknecht Mitbegründer der Partei KPD.

Er wohnte von 1881 bis 1890 in der Karl-Liebknecht-Straße 69, damals Südplatz 11. 

2002 bekam der Südplatz übrigens auch erneut seinen Namen. 

#leipzig #sachsen #historisch #history #Karli";10;861;True;culture;no;535;False;no personalisation;no emotionalisation;News;regional;no interaction;no;1;;all verbs included;verbless clause;all articles included;no nouns;no quote;no quote;5.871794871794871;4.333333333333333;personalisation;6.0;1.0;5.0;[];0.0;0.1666666666666666;1.2;0.2;complex;
11;11;11;11;"»Wo geht’s nach Panama?“
Achtsamkeit und Bewusstsein:
Highfield-Festival arbeitet mit
Awareness-Team
";C:/Users/Lui/Desktop/Leuphana/01_Bachelor Arbeit/Data/alt/lvz.de\2023-08-17_13-48-21_UTC.jpg;"Ein Satz, der helfen soll: „Wo geht’s nach Panama?“ heißt das #Awareness-Konzept des #Highfield-Festivals, das seit 2017 läuft.

Wer sich, egal aus welchem Grund, unwohl fühlt und diese Frage den Ordnern, dem Barpersonal, Sanitätern oder anderen Mitarbeitern mit einem grün-lila Armband stellt, bekommt ohne weitere Rückfragen sofort Hilfe angeboten.

Dies bedeutet konkret: Die betreffende Person wird zunächst an einen ruhigen und sicheren Rückzugsort gebracht. Warum das wichtig und wieso ausgerechnet ""Panama"", Christian Neffe hat mit den Veranstaltern gesprochen. Mehr dazu auf lvz.de/instagram.

#Festival #Highfield #HighfieldFestival #Leipzig #Sachsen #LVZ #LeipzigerVolkszeitung";0;540;False;culture;yes;687;True;personalisation;no emotionalisation;Interview;regional;no interaction;yes;1;;all verbs included;all verbs included;all articles included;all articles included;quote;no quote;7.0;11.75;personalisation;7.0;3.0;6.0;[];0.0;0.4285714285714285;1.1666666666666667;0.5;complex;
12;12;12;12;"Highfield Festival
Sag mir für welche Band du
da bist, ohne mir zu sagen
für welche Band du da bist
";C:/Users/Lui/Desktop/Leuphana/01_Bachelor Arbeit/Data/alt/lvz.de\2023-08-17_18-23-53_UTC.jpg;"Alles im Zeichen der Musik: Das #Highfield Festival ist gestartet - zumindest so halb, denn am Donnerstag zog es die ersten bereits auf den #Zeltplatz. ⛺️

Vor den Besuchern liegen nun vier Tage Zeltplatz, eine gute Zeit und Musik. Und für wen da die Herzen schlagen, hat Josua Gerner mal auf eine andere Art herausgefunden. 

Welche Beschreibungen für eure Lieblingsband würde euch einfallen?

#highfield #highfield2023 #highfieldfestival #festival #leipzig #sachsen #störmthalersee #musik #leipzigervolkszeitung #lvz";3;257;True;culture;no;518;True;personalisation;no emotionalisation;Interview;regional;interaction;yes;1;;verbless clause;verbless clause;all articles included;all articles included;no quote;no quote;6.309859154929577;4.941176470588236;personalisation;5.0;1.0;5.0;['⛺'];1.0;0.2;1.0;0.2;complex;
13;13;13;13;"Leipzigs Beste
Welcher Späti ist euer Liebling?
Stimmt jetzt ab!

Die Resonanz war groß, aber die Vorauswahl steht: Aus euren
Vorschlagen haben wir die zehn meistgenannten Spätis
herausgesucht. Für euren Favoriten könnt ihr bis zum 23. August
auf lvz.de abstimmen!
";C:/Users/Lui/Desktop/Leuphana/01_Bachelor Arbeit/Data/alt/lvz.de\2023-08-18_09-12-06_UTC.jpg;"Ihr habt schon ordentlich viele Vorschläge gemacht - aber jetzt geht es in die Details. Von den vielen Spätis, die ihr genannt habt, haben wir die zehn häufigsten gesucht - und die stehen nun in der Endauswahl. Stimmt jetzt ab auf unserer Homepage ab, welcher Späti ist euer Liebling, wo werdet ihr auch zu später Stunde glücklich? 

Mehr dazu auf lvz.de/instagram 

#Späti #Leipzig #Sachsen #LVZ #Kiosk #Spätikultur #LeipzigerVolkszeitung #LVZ";75;322;False;culture;yes;444;True;no personalisation;emotionalisation;News;regional;interaction;yes;1, 1 videos;;all verbs included;verbless clause;all articles included;all articles included;no quote;no quote;5.449275362318841;6.823529411764706;no personalisation;7.0;1.0;6.0;[];0.0;0.1428571428571428;1.1666666666666667;0.1666666666666666;simple;positive
14;14;14;14;"""Den ,ostdeutschen Haushalt gibt es nicht.
Ich selber komme aus Potsdam, da ist das
Durchschnittseinkommen ein anderes als in
Meerane. Deswegen haben wir eine
Wohngeldreform gemacht. Jetzt kriegen dreimal
so viele Menschen doppelt so viel Wohngeld,
auch in Leipzig sind die Zahlen deutlich nach
oben gegangen. Gerade im Wohnungsbereich
gibt es nicht die eine Wirklichkeit.“

Klara Geywitz
Bundesbauministerin (SPD) zu steigenden Mietpreisen

";C:/Users/Lui/Desktop/Leuphana/01_Bachelor Arbeit/Data/alt/lvz.de\2023-08-18_14-00-10_UTC_1.jpg;"Auch in #Leipzig verändern sich Wohnraum und Wohnkosten. Das wird zum Problem: Es gibt zu wenig Angebote auf dem Markt und die Mieten steigen. Lösungsansätze gibt es, ob und wieweit sie greifen, wird sich zeigen. Wir haben mit der Bundesbauministerin Klara Geywitz (SPD) gesprochen: Wie bleiben die Mieten in Mitteldeutschland stabil? Und kann serielles Bauen wie im DDR-Plattenbau wirklich die Lösung sein? Ein Interview von Klaus Staeubert und Hannah Suppa. 

Mehr dazu auf lvz.de/instagram 

#Bauen #Wohnen #Leben #Mieten #Kaufen #Haus #Wohnkosten #Plattenbau #Baukrise #Sachsen #LeipzigerVolkszeitung #LVZ";5;168;False;construction & living;yes;609;True;personalisation;no emotionalisation;Interview;(inter)national;no interaction;no;2;;all verbs included;all verbs included;all articles included;omission of article;no quote;quote;6.093023255813954;7.519230769230769;personalisation;8.0;1.0;9.0;[];0.0;0.125;0.8888888888888888;0.1111111111111111;simple;
15;15;15;15;"Zwei Köpfe
eine Frage

";C:/Users/Lui/Desktop/Leuphana/01_Bachelor Arbeit/Data/alt/lvz.de\2023-08-18_16-58-41_UTC.jpg;Vor dem #Bundesliga-Start für @rbleipzig auswärts bei @bayer04fussball stellt sich die Frage: Wie viel war dieser Supercup-Sieg wert? In „Zwei Köpfe, eine Frage“ gehen @ahr80 und @benny_post7 dem nach. #rbleipzig #b04rbl #bundesliga #fussball #leipzig #sachsen #lvz;2;55;True;LVZ;no;265;True;personalisation;no emotionalisation;News;regional;no interaction;yes;1;;all verbs included;verbless clause;all articles included;all articles included;no quote;no quote;6.388888888888889;7.0;no personalisation;3.0;0.0;3.0;[];0.0;0.0;1.0;0.0;simple;
16;16;16;16;"Highfield Festival

Gute Stimmung und
ausgefallene Festival-Looks
Das war der Freitag
";C:/Users/Lui/Desktop/Leuphana/01_Bachelor Arbeit/Data/alt/lvz.de\2023-08-18_21-25-59_UTC.jpg;"Glitzer im Gesicht, Kostüme und gute Stimmung - das hat man am Freitag auf dem Highfield Festival gesehen. Am Tag eins der Festival-Konzerte sind unter anderem Blond, Von wegen Lisbeth und K.I.Z aufgetreten. 

Was war euer Highlight? 

#Leipzig #Sachsen #Festival #Highfield #Hoghfieldfestival #Musik #Konzert";1;339;True;culture;no;309;True;personalisation;no emotionalisation;News;regional;interaction;no;1, 1 video;;verbless clause;verbless clause;omission of article;omission of article;no quote;no quote;6.045454545454546;9.875;personalisation;3.0;0.0;4.0;[];0.0;0.0;0.75;0.0;simple;
17;17;17;17;"Lücken im Angebot
Lebensmittel-Lieferdienst
Gorillas kämpft in Leipzig mit
Problemen
";C:/Users/Lui/Desktop/Leuphana/01_Bachelor Arbeit/Data/alt/lvz.de\2023-08-19_10-20-07_UTC.jpg;"Gerade bestellt, schnell geliefert und schon ist der Kühlschrank wieder voll? So ähnlich funktioniert das Prinzip des Lieferdienstes Gorillas. Eigentlich. Denn dem Shop fehlt es an Essentiellen, außerdem werden einige Stadtteile nicht mehr beliefert. 

Der Lebensmittelhändler, das wird in Gesprächen mit Handelsexperten und Zulieferern deutlich, scheint in Turbulenzen zu stecken. Erst im April wurde Gorillas durch den türkischen Rivalen Getir übernommen. Ob die Turbulenzen nur in #Leipzig zu spüren sind und ob die Übernahme der Grund dafür ist, LVZ-Redakteur Florian Reinke und die Antwort: Jetzt bei lvz.de/instagram 

#Leipzig #Gorillas #StartUp #Liederdienst #Sachsen #LVZ #LeipzigerVolkszeitung";3;284;False;business & finance;yes;703;True;personalisation;no emotionalisation;Report/ Analysis;regional;no interaction;yes;1, 1 video;;all verbs included;verbless clause;all articles included;all articles included;no quote;no quote;6.48936170212766;11.285714285714286;personalisation;9.0;0.0;9.0;[];0.0;0.0;1.0;0.0;simple;
18;18;18;18;"DLRG-Interview

""Haben Sie Angst, bei einem
Rettungsversuch zu sterben,
Herr Rieckhoff?“
";C:/Users/Lui/Desktop/Leuphana/01_Bachelor Arbeit/Data/alt/lvz.de\2023-08-19_12-37-05_UTC.jpg;Jedes Jahr kommen Menschen bei tödlichen Badeunfällen ums Leben. Ein Rettungsschwimmer der @dlrg.graalmueritz (Deutschen Lebens-Rettungs-Gesellschaft) stellt im Interview seine Arbeit vor. Laut Statistik der DLRG sind in diesem Jahr bislang mindestens 192 Menschen in Deutschland bei Badeunfällen gestorben. #Rettungsschwimmer #Rettung #DLRG #Schwimmen;0;239;True;crime, disaster & accidents;no;352;False;personalisation;no emotionalisation;Interview;(inter)national;no interaction;no;1;;all verbs included;verbless clause;all articles included;all articles included;no quote;quote;7.404761904761905;10.25;no personalisation;3.0;0.0;3.0;[];0.0;0.0;1.0;0.0;simple;
19;19;19;19;"""Das, was alle von Berlin
denken, hat Leipzig wirklich.“

Julian Holting
E-Bassist der Band Von Wegen Lisbeth";C:/Users/Lui/Desktop/Leuphana/01_Bachelor Arbeit/Data/alt/lvz.de\2023-08-19_17-00-14_UTC_1.jpg;"Die Band Von Wegen Lisbeth ist zum dritten Mal auf dem Highfield Festival aufgetreten. E-Bassist Julian Hölting und Sänger sowie Gitarrist Matthias Rohde erklären im Interview, was sie mit Leipzig verbinden, warum sie kleine Konzerte mehr mögen als Festivals und welche Songs sie am liebsten auf der Bühne spielen. Das ganze Interview lest ihr unter dem Link in unserer Bio.
Leipzig habe eine richtige Musikszene, Berlin habe das nicht, aber alle denken es, sagt Julian Hölting. Was denkt ihr? Stimmt das?
#Highfieldfestival #Highfield #Leipzig #Berlin #Sachsen #Musik #Konzert #Festival";10;1201;False;celebrity;no;587;True;personalisation;no emotionalisation;Interview;regional;interaction;no;3;;all verbs included;verbless clause;all articles included;no nouns;no quote;quote;5.758620689655173;6.857142857142857;personalisation;10.0;1.0;7.0;[];0.0;0.1;1.4285714285714286;0.1428571428571428;simple;
20;20;20;20;"Die richtige Zeit zum Pilzesammeln

Achtung! Wenn ihr euch unsicher seid, lieber die Finger davon lassen!
";C:/Users/Lui/Desktop/Leuphana/01_Bachelor Arbeit/Data/alt/lvz.de\2023-08-20_06-37-10_UTC_1.jpg;"Wenn die Tage kürzer und kühler werden und der Herbst vor der Tür steht, beginnt die Pilzsaison. 😍 Steinpilze, Maronen und Co. stehen im Wald bereit, um beim nächsten Spaziergang gesammelt zu werden. 

Doch lauern unter den lecker anmutenden Pilzen giftige Doppelgänger, die für den Menschen nicht nur ungenießbar sind, sondern auch sehr gefährlich werden können. 🍄
Oft lässt sich ein Pilz erst anhand mehrerer markanter Merkmale identifizieren, die ihn von seinem Doppelgänger unterscheiden. Grundsätzlich ist bei allen Sorten, die vom Sammler nicht zweifelsfrei bestimmt werden können, Vorsicht geboten. 

Sammelt ihr gerne Pilze?
#Pilze #Pilzsaison #Wald #Natur";9;318;False;culture;no;664;True;no personalisation;no emotionalisation;News;(inter)national;interaction;no;3;;all verbs included;verbless clause;all articles included;all articles included;no quote;no quote;6.0;6.133333333333334;no personalisation;5.0;4.0;7.0;['😍', '🍄'];1.0;0.8;0.7142857142857143;0.5714285714285714;complex;
21;21;21;21;"Fundstelle, Eisverkauf, Catering

Diese Menschen machen das
Highfield-Festival schön

";C:/Users/Lui/Desktop/Leuphana/01_Bachelor Arbeit/Data/alt/lvz.de\2023-08-20_12-09-24_UTC_1.jpg;"Drei Tage Top-Konzerte und prächtige Stimmung – das Highfield-Festival ist wieder ein Höhepunkt des Sommers. Auch deshalb, weil viele eingespannt sind, es Besucherinnen und Besuchern schön zu machen. 😎🎸

#highfield #highfield2023 #highfieldfestival #festival #konzert #musik";2;868;False;culture;no;274;False;personalisation;no emotionalisation;News;regional;no interaction;no;5;;all verbs included;all verbs included;omission of article;all articles included;no quote;no quote;7.088235294117647;11.428571428571429;no personalisation;2.0;0.0;4.0;['😎', '🎸'];1.0;0.0;0.5;0.0;simple;
22;22;22;22;"Fußball-WM der Frauen
Spanien holt sich zum ersten
Mal den Weltmeistertitel
";C:/Users/Lui/Desktop/Leuphana/01_Bachelor Arbeit/Data/alt/lvz.de\2023-08-20_12-36-11_UTC.jpg;"Spanien holt sich den WM-Pokal. 🏆
Mit einem 1:0-Sieg gegen England konnte sich die spanische Nationalmannschaft im Finale der Fußballweltmeisterschaft der Frauen zum Titel spielen. Kapitänin Olga Carmona gelang im Accor Stadion von Sydney nach knapp einer halben Stunde der entscheidende Treffer. Sowohl Spanien als auch England standen zum ersten Mal in der Geschichte der Frauen-Weltmeisterschaft im Finale. ⚽
Die deutsche Nationalmannschaft hatte bei der nun beendeten WM in Australien und Neuseeland keine Rolle gespielt. Mit großen Ambitionen in das Turnier gestartet, war für die DFB-Auswahl schon nach der Vorrunde Schluss.

Welche Mannschaft würdet ihr bei der WM zum Weltmeister der Herzen küren? ❤️
 #FIFAWWC2023 #Fußball #FußballWM #Frauenfußball #Weltmeisterschaft";4;408;False;sports;no;776;True;personalisation;no emotionalisation;News;(inter)national;interaction;;1;;all verbs included;verbless clause;all articles included;all articles included;no quote;no quote;6.330188679245283;7.555555555555555;personalisation;8.0;0.0;11.0;['🏆', '⚽', '❤️'];1.0;0.0;0.7272727272727273;0.0;simple;
23;23;23;23;"""Ich wünsche allen nachfolgenden Jahrgängen
ein Schulsystem, das menschlicher und sozialer
ist. Mich und viele andere hat der permanente
Leistungsdruck fertiggemacht. Heute zählt nur
ein Einser-Abi. Das ist krank.“

Josephine Giinther
Abiturientin
";C:/Users/Lui/Desktop/Leuphana/01_Bachelor Arbeit/Data/alt/lvz.de\2023-08-20_14-30-08_UTC_1.jpg;"Am Montag beginn in #Sachsen wieder die #Schule. Doch: Die sächsischen Bildungseinrichtungen ächzen unter zahlreichen bekannten Problemen: vom Lehrermangel bis zur stockenden Digitalisierung, von überfrachteten Lehrplänen bis  zum Stundenausfall. 

Aber: Die Menschen, die in ihrem Alltag mit Schule zu tun haben – ob als Kind, Elternteil, Lehrer oder Sozialarbeiterin – blicken manchmal mit ganz anderen Augen auf das Lernen. Wir haben mit ihnen gesprochen: Was wünschen sie sich für das nächste Schuljahr? 

Mehr dazu auf lvz.de/instagram

#Leipzig #Sommerferien #Unterricht #Schuljahr #Schultag #Lernen #LVZ #LeipzigerVolkszeitung";14;841;False;science & education;yes;633;True;personalisation;emotionalisation;Interview;regional;no interaction;no;1;;all verbs included;all verbs included;all articles included;all articles included;no quote;quote;6.547619047619048;8.576923076923077;no personalisation;4.0;0.0;7.0;[];0.0;0.0;0.5714285714285714;0.0;simple;negative
24;24;24;24;"Nach sechs Wochen frei!
Schulstart: Fur Sachsens
Schülerinnen und Schüler
enden die Ferien";C:/Users/Lui/Desktop/Leuphana/01_Bachelor Arbeit/Data/alt/lvz.de\2023-08-21_06-00-08_UTC.jpg;"⛱Die #Ferien in #Sachsen sind vorbei! Für tausende Schülerinnen und Schüler geht es damit jetzt wieder in die Schule und die nächste Klasse, zahlreiche Erstklässler haben heute ihren ersten richtigen Schultag. Wir wünschen euch eine tolle Zeit und viel Spaß! 

(Und den Eltern ein bisschen Erholung!)

#Schule #Sommerferien #Leipzig #Dresden #Chemnitz #Erstklässler #Schule #LeipzigerVolkszeitung #LVZ";0;294;False;science & education;no;401;False;no personalisation;emotionalisation;News;(inter)national;no interaction;no;1;;verbless clause;verbless clause;all articles included;all articles included;no quote;no quote;6.444444444444445;8.1;no personalisation;4.0;0.0;6.0;['⛱'];1.0;0.0;0.6666666666666666;0.0;simple;positive
